"","status.of.existing.checking.account","duration.in.month","credit.history","purpose","credit.amount","savings.account.and.bonds","present.employment.since","installment.rate.in.percentage.of.disposable.income","personal.status.and.sex","other.debtors.or.guarantors","present.residence.since","property","age.in.years","other.installment.plans","housing","number.of.existing.credits.at.this.bank","job","number.of.people.being.liable.to.provide.maintenance.for","telephone","foreign.worker","creditability"
"786","0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",1941,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/ life insurance",35,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"787","no checking account",22,"existing credits paid back duly till now","radio/television",2675,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",4,"car or other, not in attribute Savings account/bonds",40,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"788","no checking account",48,"critical account/ other credits existing (not at this bank)","car (used)",2751,"unknown/ no savings account","... >= 7 years",4,"male : single","none",3,"car or other, not in attribute Savings account/bonds",38,"none","own",2,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"789","0 <= ... < 200 DM",48,"delay in paying off in the past","education",6224,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown / no property",50,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"790","... < 0 DM",40,"critical account/ other credits existing (not at this bank)","education",5998,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"unknown / no property",27,"bank","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"791","0 <= ... < 200 DM",21,"existing credits paid back duly till now","business",1188,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",39,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","bad"
"792","no checking account",24,"existing credits paid back duly till now","car (used)",6313,"unknown/ no savings account","... >= 7 years",3,"male : single","none",4,"car or other, not in attribute Savings account/bonds",41,"none","own",1,"OTHER","2","yes, registered under the customers name","yes","good"
"793","no checking account",6,"critical account/ other credits existing (not at this bank)","furniture/equipment",1221,"unknown/ no savings account","1 <= ... < 4 years",1,"male : married/widowed","none",2,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"794","... >= 200 DM / salary assignments for at least 1 year",24,"existing credits paid back duly till now","furniture/equipment",2892,"... < 100 DM","... >= 7 years",3,"female : divorced/separated/married","none",4,"unknown / no property",51,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"795","no checking account",24,"existing credits paid back duly till now","furniture/equipment",3062,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",3,"unknown / no property",32,"none","rent",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"796","no checking account",9,"existing credits paid back duly till now","furniture/equipment",2301,"100 <= ... < 500 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",22,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"797","... < 0 DM",18,"existing credits paid back duly till now","car (used)",7511,"unknown/ no savings account","... >= 7 years",1,"male : single","none",4,"building society savings agreement/ life insurance",51,"none","for free",1,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","bad"
"798","no checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1258,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",22,"none","rent",2,"unskilled - resident","1","none","yes","good"
"799","no checking account",24,"delay in paying off in the past","car (new)",717,"unknown/ no savings account","... >= 7 years",4,"male : married/widowed","none",4,"car or other, not in attribute Savings account/bonds",54,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"800","0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",1549,"unknown/ no savings account","... < 1 year",4,"male : single","none",2,"real estate",35,"none","own",1,"OTHER","1","none","yes","good"
"801","no checking account",24,"critical account/ other credits existing (not at this bank)","education",1597,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown / no property",54,"none","for free",2,"unskilled - residentskilled employee / official","2","none","yes","good"
"802","0 <= ... < 200 DM",18,"critical account/ other credits existing (not at this bank)","radio/television",1795,"... < 100 DM","... >= 7 years",3,"female : divorced/separated/married","guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"803","... < 0 DM",20,"critical account/ other credits existing (not at this bank)","furniture/equipment",4272,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",24,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"804","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",976,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",35,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"805","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",7472,"unknown/ no savings account","unemployed",1,"female : divorced/separated/married","none",2,"real estate",24,"none","rent",1,"OTHER","1","none","yes","good"
"806","... < 0 DM",36,"existing credits paid back duly till now","car (new)",9271,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"car or other, not in attribute Savings account/bonds",24,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"807","0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",590,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",3,"real estate",26,"none","own",1,"unskilled - resident","1","none","no","good"
"808","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",930,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"real estate",65,"none","own",4,"unskilled - residentskilled employee / official","1","none","yes","good"
"809","0 <= ... < 200 DM",42,"all credits at this bank paid back duly","car (used)",9283,"... < 100 DM","unemployed",1,"male : single","none",2,"unknown / no property",55,"bank","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"810","0 <= ... < 200 DM",15,"no credits taken/ all credits paid back duly","car (new)",1778,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",1,"real estate",26,"none","rent",2,"OTHER","1","none","yes","bad"
"811","0 <= ... < 200 DM",8,"existing credits paid back duly till now","business",907,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",2,"real estate",26,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"812","0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",484,"... < 100 DM","4 <= ... < 7 years",3,"male : married/widowed","guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident","1","none","yes","good"
"813","... < 0 DM",36,"critical account/ other credits existing (not at this bank)","car (used)",9629,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",24,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"814","... < 0 DM",48,"existing credits paid back duly till now","OTHER",3051,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"car or other, not in attribute Savings account/bonds",54,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"815","... < 0 DM",48,"existing credits paid back duly till now","car (new)",3931,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"unknown / no property",46,"none","for free",1,"unskilled - residentskilled employee / official","2","none","yes","bad"
"816","0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",7432,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",54,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"817","no checking account",6,"existing credits paid back duly till now","OTHER",1338,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"real estate",62,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"818","no checking account",6,"critical account/ other credits existing (not at this bank)","radio/television",1554,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",24,"none","rent",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"819","... < 0 DM",36,"existing credits paid back duly till now","OTHER",15857,"... < 100 DM","unemployed",2,"female : divorced/separated/married","co-applicant",3,"car or other, not in attribute Savings account/bonds",43,"none","own",1,"OTHER","1","none","yes","good"
"820","... < 0 DM",18,"existing credits paid back duly till now","radio/television",1345,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",3,"real estate",26,"bank","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"821","no checking account",12,"existing credits paid back duly till now","car (new)",1101,"... < 100 DM","1 <= ... < 4 years",3,"male : married/widowed","none",2,"real estate",27,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"822","... >= 200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","radio/television",3016,"... < 100 DM","1 <= ... < 4 years",3,"male : married/widowed","none",1,"car or other, not in attribute Savings account/bonds",24,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"823","... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",2712,"... < 100 DM","... >= 7 years",2,"male : single","none",2,"building society savings agreement/ life insurance",41,"bank","own",1,"unskilled - residentskilled employee / official","2","none","yes","bad"
"824","... < 0 DM",8,"critical account/ other credits existing (not at this bank)","car (new)",731,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",47,"none","own",2,"unskilled - resident","1","none","yes","good"
"825","no checking account",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",3780,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",35,"none","own",2,"OTHER","1","yes, registered under the customers name","yes","good"
"826","... < 0 DM",21,"critical account/ other credits existing (not at this bank)","car (new)",1602,"... < 100 DM","... >= 7 years",4,"male : married/widowed","none",3,"car or other, not in attribute Savings account/bonds",30,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"827","... < 0 DM",18,"critical account/ other credits existing (not at this bank)","car (new)",3966,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",3,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"828","no checking account",18,"no credits taken/ all credits paid back duly","business",4165,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other, not in attribute Savings account/bonds",36,"stores","own",2,"unskilled - residentskilled employee / official","2","none","yes","bad"
"829","... < 0 DM",36,"existing credits paid back duly till now","car (used)",8335,"unknown/ no savings account","... >= 7 years",3,"male : single","none",4,"unknown / no property",47,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"830","0 <= ... < 200 DM",48,"delay in paying off in the past","business",6681,"unknown/ no savings account","1 <= ... < 4 years",4,"male : single","none",4,"unknown / no property",38,"none","for free",1,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"831","no checking account",24,"delay in paying off in the past","business",2375,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",44,"none","own",2,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"832","... < 0 DM",18,"existing credits paid back duly till now","car (new)",1216,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",23,"none","rent",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"833","... < 0 DM",45,"no credits taken/ all credits paid back duly","business",11816,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"car or other, not in attribute Savings account/bonds",29,"none","rent",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"834","0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",5084,"unknown/ no savings account","... >= 7 years",2,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",42,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"835","... >= 200 DM / salary assignments for at least 1 year",15,"existing credits paid back duly till now","radio/television",2327,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",3,"real estate",25,"none","own",1,"unskilled - resident","1","none","yes","bad"
"836","... < 0 DM",12,"no credits taken/ all credits paid back duly","car (new)",1082,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",48,"bank","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"837","no checking account",12,"existing credits paid back duly till now","radio/television",886,"unknown/ no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",21,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"838","no checking account",4,"existing credits paid back duly till now","furniture/equipment",601,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",1,"unskilled - resident","2","none","yes","good"
"839","... < 0 DM",24,"critical account/ other credits existing (not at this bank)","car (used)",2957,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/ life insurance",63,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"840","no checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2611,"... < 100 DM","... >= 7 years",4,"male : married/widowed","co-applicant",3,"real estate",46,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"841","... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",5179,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"842","no checking account",21,"delay in paying off in the past","car (used)",2993,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",28,"stores","own",2,"unskilled - resident","1","none","yes","good"
"843","no checking account",18,"existing credits paid back duly till now","OTHER",1943,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",23,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"844","no checking account",24,"all credits at this bank paid back duly","business",1559,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",50,"bank","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"845","no checking account",18,"existing credits paid back duly till now","furniture/equipment",3422,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"846","0 <= ... < 200 DM",21,"existing credits paid back duly till now","furniture/equipment",3976,"unknown/ no savings account","4 <= ... < 7 years",2,"male : single","none",3,"car or other, not in attribute Savings account/bonds",35,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"847","no checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown/ no savings account","1 <= ... < 4 years",2,"male : single","none",4,"car or other, not in attribute Savings account/bonds",68,"none","rent",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"848","no checking account",24,"existing credits paid back duly till now","car (new)",1249,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"849","... < 0 DM",9,"existing credits paid back duly till now","radio/television",1364,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",4,"real estate",59,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"850","... < 0 DM",12,"existing credits paid back duly till now","radio/television",709,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",57,"stores","own",1,"unskilled - resident","1","none","yes","bad"
"851","... < 0 DM",20,"critical account/ other credits existing (not at this bank)","car (new)",2235,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","guarantor",2,"building society savings agreement/ life insurance",33,"bank","rent",2,"unskilled - residentskilled employee / official","1","none","no","bad"
"852","no checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",4042,"unknown/ no savings account","4 <= ... < 7 years",3,"male : single","none",4,"building society savings agreement/ life insurance",43,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"853","no checking account",15,"critical account/ other credits existing (not at this bank)","radio/television",1471,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown / no property",35,"none","for free",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"854","... < 0 DM",18,"all credits at this bank paid back duly","car (new)",1442,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident","2","none","yes","bad"
"855","no checking account",36,"delay in paying off in the past","car (new)",10875,"... < 100 DM","... >= 7 years",2,"male : single","none",2,"car or other, not in attribute Savings account/bonds",45,"none","own",2,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"856","no checking account",24,"existing credits paid back duly till now","car (new)",1474,"100 <= ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"real estate",33,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"857","no checking account",10,"existing credits paid back duly till now","OTHER",894,"unknown/ no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"building society savings agreement/ life insurance",40,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"858","no checking account",15,"critical account/ other credits existing (not at this bank)","furniture/equipment",3343,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"unknown / no property",28,"none","for free",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"859","... < 0 DM",15,"existing credits paid back duly till now","car (new)",3959,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"860","no checking account",9,"existing credits paid back duly till now","car (new)",3577,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"none","rent",1,"unskilled - residentskilled employee / official","2","none","no","good"
"861","no checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",5804,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",27,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"862","no checking account",18,"delay in paying off in the past","business",2169,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"car or other, not in attribute Savings account/bonds",28,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"863","... < 0 DM",24,"existing credits paid back duly till now","radio/television",2439,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",35,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"864","no checking account",27,"critical account/ other credits existing (not at this bank)","furniture/equipment",4526,"... >= 1000 DM","... < 1 year",4,"male : single","none",2,"real estate",32,"stores","own",2,"unskilled - resident","2","yes, registered under the customers name","yes","good"
"865","no checking account",10,"existing credits paid back duly till now","furniture/equipment",2210,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",25,"bank","rent",1,"unskilled - resident","1","none","yes","bad"
"866","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2221,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",20,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"867","... < 0 DM",18,"existing credits paid back duly till now","radio/television",2389,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"car or other, not in attribute Savings account/bonds",27,"stores","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"868","no checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",3331,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"building society savings agreement/ life insurance",42,"stores","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"869","no checking account",36,"existing credits paid back duly till now","business",7409,"unknown/ no savings account","... >= 7 years",3,"male : single","none",2,"building society savings agreement/ life insurance",37,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"870","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",652,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"871","no checking account",36,"delay in paying off in the past","furniture/equipment",7678,"500 <= ... < 1000 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",40,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"872","... >= 200 DM / salary assignments for at least 1 year",6,"critical account/ other credits existing (not at this bank)","car (new)",1343,"... < 100 DM","... >= 7 years",1,"male : single","none",4,"real estate",46,"none","own",2,"unskilled - residentskilled employee / official","2","none","no","good"
"873","... < 0 DM",24,"critical account/ other credits existing (not at this bank)","business",1382,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",1,"real estate",26,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"874","no checking account",15,"existing credits paid back duly till now","OTHER",874,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",1,"real estate",24,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"875","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",3590,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",2,"building society savings agreement/ life insurance",29,"none","own",1,"unskilled - resident","2","none","yes","good"
"876","0 <= ... < 200 DM",11,"critical account/ other credits existing (not at this bank)","car (new)",1322,"... >= 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",40,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"877","... < 0 DM",18,"all credits at this bank paid back duly","radio/television",1940,"... < 100 DM","... < 1 year",3,"male : single","co-applicant",4,"unknown / no property",36,"bank","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"878","no checking account",36,"existing credits paid back duly till now","radio/television",3595,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",28,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"879","... < 0 DM",9,"existing credits paid back duly till now","car (new)",1422,"... < 100 DM","... < 1 year",3,"male : single","none",2,"unknown / no property",27,"none","for free",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"880","no checking account",30,"critical account/ other credits existing (not at this bank)","radio/television",6742,"unknown/ no savings account","4 <= ... < 7 years",2,"male : single","none",3,"building society savings agreement/ life insurance",36,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"881","no checking account",24,"existing credits paid back duly till now","car (used)",7814,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",3,"car or other, not in attribute Savings account/bonds",38,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"882","no checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown/ no savings account","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"unknown / no property",48,"none","for free",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"883","0 <= ... < 200 DM",30,"critical account/ other credits existing (not at this bank)","car (new)",2181,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"884","no checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",1098,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",65,"none","own",2,"OTHER","1","none","yes","good"
"885","0 <= ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4057,"... < 100 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",43,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"886","... < 0 DM",12,"existing credits paid back duly till now","education",795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"887","0 <= ... < 200 DM",24,"critical account/ other credits existing (not at this bank)","business",2825,"unknown/ no savings account","4 <= ... < 7 years",4,"male : single","none",3,"unknown / no property",34,"none","own",2,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"888","0 <= ... < 200 DM",48,"existing credits paid back duly till now","business",15672,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other, not in attribute Savings account/bonds",23,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"889","no checking account",36,"critical account/ other credits existing (not at this bank)","car (new)",6614,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",34,"none","own",2,"OTHER","1","yes, registered under the customers name","yes","good"
"890","no checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown/ no savings account","... < 1 year",3,"male : single","guarantor",4,"real estate",40,"bank","rent",2,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"891","... < 0 DM",27,"critical account/ other credits existing (not at this bank)","business",2442,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",43,"stores","own",4,"OTHER","2","yes, registered under the customers name","yes","good"
"892","no checking account",15,"critical account/ other credits existing (not at this bank)","radio/television",1829,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",46,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"893","... < 0 DM",12,"critical account/ other credits existing (not at this bank)","car (new)",2171,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"building society savings agreement/ life insurance",38,"bank","own",2,"unskilled - resident","1","none","no","good"
"894","0 <= ... < 200 DM",36,"critical account/ other credits existing (not at this bank)","car (used)",5800,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"car or other, not in attribute Savings account/bonds",34,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"895","no checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",1169,"unknown/ no savings account","1 <= ... < 4 years",4,"male : single","none",3,"building society savings agreement/ life insurance",29,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"896","no checking account",36,"delay in paying off in the past","car (used)",8947,"unknown/ no savings account","4 <= ... < 7 years",3,"male : single","none",2,"car or other, not in attribute Savings account/bonds",31,"stores","own",1,"OTHER","2","yes, registered under the customers name","yes","good"
"897","... < 0 DM",21,"existing credits paid back duly till now","radio/television",2606,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",28,"none","rent",1,"OTHER","1","yes, registered under the customers name","yes","good"
"898","no checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1592,"... >= 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",35,"none","own",1,"unskilled - residentskilled employee / official","1","none","no","good"
"899","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2186,"unknown/ no savings account","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",1,"unskilled - resident","1","none","yes","good"
"900","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",4153,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",3,"car or other, not in attribute Savings account/bonds",42,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
