,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
798,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,NA,22,none,rent,2,unskilled - resident,1,none,NA,good
799,no checking account,24,NA,NA,717,unknown/ no savings account,... >= 7 years,4,male : married/widowed,none,NA,"car or other, not in attribute Savings account/bonds",54,NA,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
800,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,... < 1 year,NA,male : single,none,2,NA,35,none,NA,1,NA,NA,none,yes,good
801,no checking account,24,critical account/ other credits existing (not at this bank),education,NA,... < 100 DM,NA,NA,male : single,none,4,NA,54,none,for free,2,unskilled - residentskilled employee / official,2,none,yes,good
802,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),radio/television,1795,NA,... >= 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,NA,2,unskilled - resident,1,"yes, registered under the customers name",yes,good
803,... < 0 DM,NA,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,NA,NA,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
804,NA,NA,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,... >= 7 years,4,male : single,none,NA,"car or other, not in attribute Savings account/bonds",35,NA,own,2,unskilled - residentskilled employee / official,1,none,yes,good
805,0 <= ... < 200 DM,12,NA,NA,7472,NA,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,OTHER,NA,none,yes,good
806,... < 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,NA,1,"yes, registered under the customers name",yes,bad
807,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,590,... < 100 DM,... < 1 year,3,male : married/widowed,none,3,NA,26,none,own,1,unskilled - resident,NA,none,no,good
808,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,NA,unknown/ no savings account,... >= 7 years,4,male : single,NA,NA,real estate,65,none,own,4,unskilled - residentskilled employee / official,1,NA,yes,good
809,NA,42,all credits at this bank paid back duly,NA,9283,... < 100 DM,unemployed,NA,male : single,none,2,unknown / no property,55,bank,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
810,0 <= ... < 200 DM,NA,no credits taken/ all credits paid back duly,NA,1778,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,OTHER,1,NA,yes,bad
811,NA,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year,3,male : married/widowed,NA,2,real estate,26,none,own,1,NA,1,"yes, registered under the customers name",NA,good
812,0 <= ... < 200 DM,6,NA,NA,484,... < 100 DM,4 <= ... < 7 years,NA,male : married/widowed,guarantor,NA,real estate,28,NA,NA,1,unskilled - resident,1,none,NA,good
813,... < 0 DM,36,NA,car (used),9629,... < 100 DM,4 <= ... < 7 years,4,male : single,NA,4,NA,24,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
814,... < 0 DM,48,existing credits paid back duly till now,OTHER,3051,... < 100 DM,1 <= ... < 4 years,NA,male : single,none,NA,"car or other, not in attribute Savings account/bonds",54,none,own,1,unskilled - residentskilled employee / official,1,none,NA,bad
815,NA,48,NA,car (new),NA,... < 100 DM,4 <= ... < 7 years,4,NA,none,4,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,2,none,NA,bad
816,0 <= ... < 200 DM,36,NA,car (new),NA,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,NA,2,building society savings agreement/ life insurance,54,none,rent,1,unskilled - residentskilled employee / official,1,none,yes,good
817,no checking account,6,existing credits paid back duly till now,OTHER,1338,NA,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,NA,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,good
818,no checking account,NA,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,NA,1,NA,none,2,"car or other, not in attribute Savings account/bonds",24,none,rent,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
819,... < 0 DM,36,existing credits paid back duly till now,NA,15857,... < 100 DM,unemployed,2,female : divorced/separated/married,NA,3,"car or other, not in attribute Savings account/bonds",43,none,own,1,NA,1,none,NA,good
820,... < 0 DM,18,existing credits paid back duly till now,radio/television,NA,... < 100 DM,NA,NA,NA,NA,3,real estate,NA,bank,NA,1,unskilled - residentskilled employee / official,1,NA,yes,bad
821,no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,27,none,own,NA,NA,NA,"yes, registered under the customers name",yes,good
822,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM,1 <= ... < 4 years,NA,NA,none,1,"car or other, not in attribute Savings account/bonds",24,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,good
823,NA,NA,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,2,male : single,none,NA,building society savings agreement/ life insurance,41,bank,own,1,unskilled - residentskilled employee / official,2,none,yes,bad
824,NA,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,47,none,own,NA,NA,1,none,yes,good
825,no checking account,NA,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,NA,NA,none,2,"car or other, not in attribute Savings account/bonds",35,none,NA,NA,OTHER,1,"yes, registered under the customers name",yes,good
826,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,4,male : married/widowed,none,3,"car or other, not in attribute Savings account/bonds",NA,none,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
827,NA,18,critical account/ other credits existing (not at this bank),car (new),NA,NA,... >= 7 years,1,female : divorced/separated/married,NA,4,NA,33,bank,rent,3,unskilled - residentskilled employee / official,NA,NA,yes,bad
828,no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,none,NA,"car or other, not in attribute Savings account/bonds",NA,NA,own,2,NA,NA,none,yes,bad
829,... < 0 DM,36,existing credits paid back duly till now,NA,8335,NA,... >= 7 years,NA,male : single,NA,NA,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,1,none,yes,bad
830,0 <= ... < 200 DM,48,delay in paying off in the past,business,NA,unknown/ no savings account,NA,4,male : single,none,NA,NA,38,none,for free,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
831,no checking account,24,NA,business,2375,NA,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,none,NA,2,NA,2,"yes, registered under the customers name",yes,good
832,... < 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",23,none,rent,NA,NA,1,"yes, registered under the customers name",yes,bad
833,... < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,2,NA,none,NA,"car or other, not in attribute Savings account/bonds",29,none,rent,2,unskilled - residentskilled employee / official,1,NA,NA,bad
834,NA,24,NA,radio/television,5084,NA,... >= 7 years,2,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",42,none,own,1,NA,1,"yes, registered under the customers name",NA,good
835,... >= 200 DM / salary assignments for at least 1 year,15,NA,radio/television,NA,... < 100 DM,NA,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,bad
836,... < 0 DM,12,no credits taken/ all credits paid back duly,car (new),NA,NA,NA,4,NA,none,4,"car or other, not in attribute Savings account/bonds",48,bank,own,2,unskilled - residentskilled employee / official,1,NA,NA,bad
837,no checking account,12,existing credits paid back duly till now,NA,886,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,NA,21,none,NA,1,NA,1,none,yes,good
838,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,NA,none,3,NA,NA,none,rent,1,unskilled - resident,2,none,yes,good
839,... < 0 DM,24,critical account/ other credits existing (not at this bank),NA,NA,NA,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
840,NA,24,NA,radio/television,2611,... < 100 DM,... >= 7 years,NA,male : married/widowed,co-applicant,3,real estate,46,none,NA,2,unskilled - residentskilled employee / official,1,none,NA,good
841,NA,36,existing credits paid back duly till now,furniture/equipment,5179,NA,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,bad
842,no checking account,21,delay in paying off in the past,NA,NA,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,NA,unskilled - resident,1,none,yes,good
843,no checking account,18,existing credits paid back duly till now,NA,1943,... < 100 DM,... < 1 year,4,female : divorced/separated/married,NA,NA,real estate,23,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
844,no checking account,NA,all credits at this bank paid back duly,business,1559,NA,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",50,NA,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
845,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,NA,male : single,none,4,NA,47,bank,NA,3,NA,2,"yes, registered under the customers name",yes,good
846,0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,NA,"car or other, not in attribute Savings account/bonds",35,NA,own,1,NA,1,NA,NA,good
847,NA,18,existing credits paid back duly till now,car (new),6761,NA,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",68,none,rent,2,unskilled - residentskilled employee / official,1,none,yes,bad
848,no checking account,NA,existing credits paid back duly till now,car (new),NA,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,unskilled - residentskilled employee / official,1,none,NA,good
849,... < 0 DM,NA,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,none,NA,real estate,59,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
850,... < 0 DM,NA,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,57,stores,own,1,NA,NA,none,yes,bad
851,... < 0 DM,NA,critical account/ other credits existing (not at this bank),NA,2235,... < 100 DM,1 <= ... < 4 years,NA,male : married/widowed,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,NA,unskilled - residentskilled employee / official,1,none,no,bad
852,no checking account,NA,critical account/ other credits existing (not at this bank),NA,4042,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,NA,43,none,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
853,no checking account,NA,critical account/ other credits existing (not at this bank),radio/television,NA,NA,1 <= ... < 4 years,4,NA,none,4,unknown / no property,35,none,for free,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
854,... < 0 DM,NA,NA,car (new),1442,... < 100 DM,4 <= ... < 7 years,NA,male : single,none,4,NA,32,none,NA,2,unskilled - resident,2,none,yes,bad
855,no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,NA,2,NA,NA,NA,NA,45,none,NA,2,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",NA,good
856,no checking account,NA,NA,car (new),1474,100 <= ... < 500 DM,... < 1 year,4,NA,none,3,real estate,33,none,own,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
857,no checking account,10,existing credits paid back duly till now,OTHER,NA,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,40,none,own,NA,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
858,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,NA,NA,yes,good
859,... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,29,NA,own,1,unskilled - residentskilled employee / official,1,NA,NA,bad
860,no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,unskilled - residentskilled employee / official,2,none,NA,good
861,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,... >= 1000 DM,NA,4,male : single,none,2,real estate,27,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
862,NA,NA,delay in paying off in the past,business,2169,... < 100 DM,NA,4,male : married/widowed,NA,2,NA,28,none,own,1,NA,1,"yes, registered under the customers name",yes,bad
863,... < 0 DM,NA,NA,NA,2439,NA,... < 1 year,4,female : divorced/separated/married,none,4,real estate,NA,NA,own,1,NA,1,NA,NA,bad
864,no checking account,NA,critical account/ other credits existing (not at this bank),furniture/equipment,4526,... >= 1000 DM,NA,NA,NA,none,NA,real estate,32,NA,own,2,unskilled - resident,2,"yes, registered under the customers name",NA,good
865,no checking account,10,existing credits paid back duly till now,NA,2210,NA,1 <= ... < 4 years,2,male : single,none,2,real estate,25,NA,rent,1,unskilled - resident,1,none,yes,bad
866,no checking account,15,existing credits paid back duly till now,NA,2221,NA,1 <= ... < 4 years,2,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",NA,none,rent,NA,NA,NA,NA,yes,good
867,... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",27,stores,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
868,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,NA,NA,male : single,NA,4,building society savings agreement/ life insurance,NA,stores,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
869,no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,... >= 7 years,3,NA,NA,2,NA,NA,none,own,2,NA,1,none,yes,good
870,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,NA,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
871,no checking account,36,NA,NA,NA,500 <= ... < 1000 DM,4 <= ... < 7 years,NA,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",40,NA,own,2,NA,1,NA,NA,good
872,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,male : single,NA,4,real estate,46,none,own,NA,NA,2,none,no,good
873,... < 0 DM,24,critical account/ other credits existing (not at this bank),business,NA,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
874,no checking account,NA,NA,OTHER,NA,unknown/ no savings account,NA,NA,NA,none,NA,NA,24,none,NA,NA,unskilled - residentskilled employee / official,NA,none,NA,good
875,NA,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,NA,2,NA,29,none,own,1,unskilled - resident,2,none,yes,good
876,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,2,unskilled - residentskilled employee / official,1,NA,yes,good
877,NA,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,NA,NA,36,bank,for free,1,NA,1,"yes, registered under the customers name",yes,good
878,no checking account,36,existing credits paid back duly till now,NA,3595,... < 100 DM,... >= 7 years,4,NA,none,NA,"car or other, not in attribute Savings account/bonds",28,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
879,NA,9,NA,car (new),NA,NA,... < 1 year,3,male : single,none,2,unknown / no property,27,none,for free,1,NA,1,"yes, registered under the customers name",yes,bad
880,no checking account,NA,critical account/ other credits existing (not at this bank),NA,6742,unknown/ no savings account,NA,2,male : single,none,3,NA,NA,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
881,NA,NA,existing credits paid back duly till now,NA,7814,... < 100 DM,4 <= ... < 7 years,NA,male : single,none,NA,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,OTHER,1,"yes, registered under the customers name",yes,good
882,no checking account,24,existing credits paid back duly till now,car (used),NA,NA,1 <= ... < 4 years,2,female : divorced/separated/married,none,NA,unknown / no property,48,none,for free,1,unskilled - residentskilled employee / official,NA,NA,yes,good
883,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,36,NA,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
884,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,NA,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",65,NA,NA,2,OTHER,1,none,yes,good
885,NA,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",43,none,NA,1,unskilled - residentskilled employee / official,1,NA,yes,bad
886,NA,NA,existing credits paid back duly till now,education,795,... < 100 DM,NA,NA,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,53,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
887,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,NA,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,NA,unknown / no property,34,none,own,2,NA,2,"yes, registered under the customers name",yes,good
888,0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,NA,1 <= ... < 4 years,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,NA,own,1,NA,NA,"yes, registered under the customers name",NA,bad
889,no checking account,36,critical account/ other credits existing (not at this bank),car (new),NA,NA,... >= 7 years,4,NA,none,4,"car or other, not in attribute Savings account/bonds",34,none,own,2,OTHER,NA,NA,NA,good
890,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,male : single,guarantor,4,real estate,40,bank,rent,2,NA,2,"yes, registered under the customers name",yes,good
891,... < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,NA,none,4,"car or other, not in attribute Savings account/bonds",43,stores,own,4,OTHER,2,"yes, registered under the customers name",yes,good
892,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,NA,NA,"yes, registered under the customers name",yes,good
893,... < 0 DM,12,critical account/ other credits existing (not at this bank),NA,NA,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,4,building society savings agreement/ life insurance,NA,bank,own,2,unskilled - resident,1,none,no,good
894,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),NA,5800,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",NA,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
895,NA,18,critical account/ other credits existing (not at this bank),radio/television,1169,NA,NA,4,NA,none,3,building society savings agreement/ life insurance,29,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
896,no checking account,36,delay in paying off in the past,NA,8947,unknown/ no savings account,NA,3,male : single,NA,NA,"car or other, not in attribute Savings account/bonds",NA,NA,own,1,OTHER,2,"yes, registered under the customers name",yes,good
897,... < 0 DM,NA,existing credits paid back duly till now,radio/television,2606,NA,... < 1 year,NA,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,NA,1,OTHER,1,"yes, registered under the customers name",NA,good
898,no checking account,NA,critical account/ other credits existing (not at this bank),furniture/equipment,1592,NA,4 <= ... < 7 years,3,female : divorced/separated/married,none,NA,NA,NA,none,own,1,unskilled - residentskilled employee / official,1,none,no,good
899,NA,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,NA,NA,NA,bank,rent,1,unskilled - resident,1,none,yes,good
900,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,NA,1 <= ... < 4 years,2,NA,co-applicant,NA,"car or other, not in attribute Savings account/bonds",42,NA,own,NA,unskilled - residentskilled employee / official,1,none,yes,bad
901,... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,NA,... >= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,NA,NA,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,bad
902,no checking account,20,critical account/ other credits existing (not at this bank),NA,3485,unknown/ no savings account,... < 1 year,2,NA,none,NA,real estate,44,NA,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
903,no checking account,36,NA,NA,10477,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,NA,unskilled - residentskilled employee / official,1,none,yes,good
904,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1 <= ... < 4 years,4,NA,none,2,real estate,40,none,rent,1,NA,1,"yes, registered under the customers name",yes,good
905,no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,36,none,NA,1,OTHER,NA,"yes, registered under the customers name",NA,good
906,... < 0 DM,12,existing credits paid back duly till now,NA,1107,... < 100 DM,1 <= ... < 4 years,2,NA,none,2,real estate,20,none,rent,NA,NA,2,"yes, registered under the customers name",yes,good
907,... < 0 DM,NA,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,NA,NA,male : single,co-applicant,NA,real estate,24,none,own,1,unskilled - resident,1,none,no,good
908,0 <= ... < 200 DM,36,existing credits paid back duly till now,NA,3711,NA,1 <= ... < 4 years,2,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",NA,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,good
909,no checking account,15,delay in paying off in the past,car (used),NA,... < 100 DM,... < 1 year,NA,NA,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes,good
910,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,NA,1 <= ... < 4 years,1,NA,none,NA,real estate,33,none,own,1,NA,NA,none,yes,good
911,no checking account,36,delay in paying off in the past,radio/television,4454,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,NA,34,NA,NA,2,unskilled - residentskilled employee / official,1,NA,NA,good
912,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",NA,bank,NA,NA,unskilled - resident,1,none,yes,bad
913,NA,NA,existing credits paid back duly till now,radio/television,NA,unknown/ no savings account,NA,2,female : divorced/separated/married,none,4,NA,NA,NA,NA,NA,unskilled - residentskilled employee / official,1,none,yes,good
914,no checking account,11,NA,business,NA,NA,NA,NA,female : divorced/separated/married,NA,NA,real estate,28,NA,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
915,... < 0 DM,NA,NA,business,3161,... < 100 DM,NA,4,male : single,none,2,building society savings agreement/ life insurance,31,none,NA,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
916,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,OTHER,18424,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,32,bank,own,1,OTHER,1,"yes, registered under the customers name",no,bad
917,NA,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,NA,NA,co-applicant,NA,real estate,32,none,own,1,unskilled - residentskilled employee / official,2,NA,yes,good
918,... < 0 DM,6,existing credits paid back duly till now,NA,14896,... < 100 DM,... >= 7 years,1,male : single,NA,4,unknown / no property,68,bank,own,1,OTHER,1,"yes, registered under the customers name",yes,bad
919,NA,NA,existing credits paid back duly till now,NA,2359,100 <= ... < 500 DM,unemployed,1,NA,none,NA,NA,33,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
920,... < 0 DM,NA,NA,furniture/equipment,3345,... < 100 DM,... >= 7 years,4,NA,none,2,building society savings agreement/ life insurance,39,none,rent,1,OTHER,1,"yes, registered under the customers name",NA,bad
921,no checking account,18,critical account/ other credits existing (not at this bank),NA,NA,NA,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,NA,28,none,own,2,NA,1,NA,NA,good
922,no checking account,48,NA,NA,12749,NA,NA,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,1,OTHER,1,NA,yes,good
923,... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,female : divorced/separated/married,NA,4,building society savings agreement/ life insurance,22,none,NA,NA,unskilled - residentskilled employee / official,NA,NA,yes,bad
924,0 <= ... < 200 DM,NA,NA,car (new),2002,... < 100 DM,NA,3,male : single,none,NA,building society savings agreement/ life insurance,30,none,rent,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
925,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,NA,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,NA,NA,bank,own,1,NA,NA,"yes, registered under the customers name",NA,bad
926,NA,12,all credits at this bank paid back duly,car (new),697,NA,... < 1 year,4,male : single,NA,2,"car or other, not in attribute Savings account/bonds",46,bank,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,bad
927,NA,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,... < 100 DM,... < 1 year,4,NA,NA,4,building society savings agreement/ life insurance,21,none,NA,1,NA,1,none,yes,good
928,... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,NA,male : single,none,NA,unknown / no property,39,stores,for free,3,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,bad
929,no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,... >= 7 years,4,male : single,none,4,NA,58,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
930,... < 0 DM,12,delay in paying off in the past,car (new),1344,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes,good
931,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,... < 100 DM,... < 1 year,4,male : single,co-applicant,1,building society savings agreement/ life insurance,24,NA,own,1,unskilled - resident,1,NA,NA,good
932,NA,9,existing credits paid back duly till now,radio/television,1670,... < 100 DM,... < 1 year,4,NA,none,2,NA,NA,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
